"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1007193_2_RA_CPH.bin.34"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Thauera"	"Unclassified_Thauera"
"1007193_2_RA_CPH.bin.39"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"CAG-103"	"CAG-103 sp000432375"
"1007194_1_RD_CPH.bin.27"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Ottowia"	"Ottowia sp018241325"
"1007195_1_RL_CPH.bin.73"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Giesbergeria"	"Giesbergeria sp017998735"
"1007195_1_RL_CPH.bin.76"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Psychrobacter"	"Psychrobacter faecalis"
"1007196_1_RA_CPH.bin.33"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia"	"Escherichia coli"
"1007199_1_RA_CPH.bin.11"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Janthinobacterium"	"Janthinobacterium tructae"
"1007200_1_RL_CPH.bin.31"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Janthinobacterium"	"Unclassified_Janthinobacterium"
"1007200_1_RL_CPH.bin.65"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas_E"	"Pseudomonas_E alcaligenes"
"1007200_1_RL_CPH.bin.78"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"JAGLBJ01"	"Unclassified_JAGLBJ01"
"1007201_1_RA_CPH.bin.50"	"Bacteria"	"Actinobacteriota"	"Actinomycetia"	"Propionibacteriales"	"Propionibacteriaceae"	"Fen-668"	"Unclassified_Fen-668"
"1007202_1_RD_CPH.bin.75"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Oscillospirales"	"Oscillospiraceae"	"CAG-103"	"CAG-103 sp000432375"
"1007204_1_RA_CPH.bin.58"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Ottowia"	"Ottowia sp017997715"
