"Site"	"City"	"Date"	"Replicate"	"Replicate_Bigger"	"DNA_conc"	"Year"	"Day"	"Day0"	"Season"	"Sample_Long_Name"
"1007158_1"	"Copenaghen_RL"	"Copenaghen"	2019-03-27	1	TRUE	"20,4"	"2019"	86	56	"spring"	"DTU_2020_1007158_1_MG_RL_CPH_Sewage_518"
"1007160_1"	"Copenaghen_RD"	"Copenaghen"	2019-04-26	1	TRUE	"2,2"	"2019"	116	86	"spring"	"DTU_2020_1007160_1_MG_RD_CPH_Sewage_529"
"1007162_1"	"Copenaghen_RA"	"Copenaghen"	2019-05-27	1	TRUE	"12"	"2019"	147	117	"spring"	"DTU_2020_1007162_1_MG_RA_CPH_Sewage_536"
"1007165_1"	"Copenaghen_RA"	"Copenaghen"	2019-06-28	1	TRUE	"23"	"2019"	179	149	"summer"	"DTU_2020_1007165_1_MG_RA_CPH_Sewage_547"
"1007166_1"	"Copenaghen_RD"	"Copenaghen"	2019-06-28	1	TRUE	"27,3"	"2019"	179	149	"summer"	"DTU_2020_1007166_1_MG_RD_CPH_Sewage_548"
"1007167_1"	"Copenaghen_RA"	"Copenaghen"	2019-07-27	1	TRUE	"1,27"	"2019"	208	178	"summer"	"DTU_2020_1007167_1_MG_RA_CPH_Sewage_560"
"1007170_1"	"Copenaghen_RL"	"Copenaghen"	2019-08-29	1	TRUE	"7,27"	"2019"	241	211	"summer"	"DTU_2020_1007170_1_MG_RL_CPH_Sewage_571"
"1007277_1"	"Copenaghen_RA"	"Copenaghen"	2019-09-28	1	TRUE	"55"	"2019"	271	241	"autumm"	"DTU_2020_1007277_1_MG_RA_CPH_Sewage_1_587"
"1007279_1"	"Copenaghen_RD"	"Copenaghen"	2019-09-28	1	TRUE	"46"	"2019"	271	241	"autumm"	"DTU_2020_1007279_1_MG_RD_CPH_Sewage_1_588"
"1007275_2"	"Copenaghen_RL"	"Copenaghen"	2019-09-28	2	TRUE	"54"	"2019"	271	241	"autumm"	"DTU_2020_1007275_2_MG_RL_CPH_Sewage_1_586"
"1007174_2"	"Copenaghen_RA"	"Copenaghen"	2019-10-13	2	TRUE	"41,5"	"2019"	286	256	"autumm"	"DTU_2020_1007174_2_MG_RA_CPH_Sewage_593"
"1007175_2"	"Copenaghen_RD"	"Copenaghen"	2019-10-13	2	TRUE	"46,1"	"2019"	286	256	"autumm"	"DTU_2020_1007175_2_MG_RD_CPH_Sewage_594"
"1007173_1"	"Copenaghen_RL"	"Copenaghen"	2019-10-13	1	TRUE	"49,4"	"2019"	286	256	"autumm"	"DTU_2020_1007173_1_MG_RL_CPH_Sewage_592"
